                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2199,                 5.7766,                 4.2646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.9037e-05,             3.9037e-05,             3.9037e-05
                      2,                 4.2375,                 5.7392,                 4.2331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.2731e-05,             5.2731e-05,             5.2731e-05
                      3,                 4.1923,                  5.683,                 4.2015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.0246e-05,             4.0246e-05,             4.0246e-05
