                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1966,                 5.7949,                 4.2607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.9037e-05,             3.9037e-05,             3.9037e-05
                      2,                  4.298,                  5.749,                 4.2306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.2731e-05,             5.2731e-05,             5.2731e-05
                      3,                 4.1996,                 5.7027,                 4.1924,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.0246e-05,             4.0246e-05,             4.0246e-05
