                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3314,                 5.7805,                 4.2672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.9037e-05,             3.9037e-05,             3.9037e-05
                      2,                  4.326,                 5.7369,                 4.2261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.2731e-05,             5.2731e-05,             5.2731e-05
                      3,                  4.232,                 5.6837,                 4.2006,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.0246e-05,             4.0246e-05,             4.0246e-05
